,actual,prediction,,,,,
1,0.5031,0.497085180890001,-0.00291481910999897,,,,
2,0.5031,0.497235356873453,-0.00276464312654695,,,,
3,0.5031,0.519664498211062,0.0196644982110621,,,,
4,0.5031,0.499601256594193,-0.000398743405806978,,,,
5,0.5031,0.49683882630835,-0.00316117369164998,,,,
6,0.5031,0.497311836442097,-0.00268816355790297,,,,
7,0.5031,0.497268987607052,-0.00273101239294798,,,,
8,0.5031,0.532704523603408,0.032704523603408,,,,
9,0.5031,0.497122679893899,-0.00287732010610098,,,,
10,0.5031,0.528001676922247,0.0280016769222471,,,,
11,0.5031,0.497194458423717,-0.00280554157628299,,,,
12,0.5031,0.537369518469265,0.0373695184692651,,,,
13,0.5031,0.497363061589926,-0.00263693841007395,,,,
14,0.5031,0.532704523603408,0.032704523603408,,,,
15,0.5031,0.497154913736213,-0.00284508626378699,,,,
16,0.5031,0.544165663608255,0.044165663608255,,,,
17,0.5031,0.497235212560648,-0.00276478743935193,,,,
18,0.5031,0.619694485089964,0.119694485089964,,,,
19,0.5031,0.334761422199301,-0.165238577800699,,,,
20,0.5031,0.338385284310775,-0.161614715689225,,,,
21,0.5031,0.497230693059074,-0.00276930694092598,,,,
22,0.5031,0.503277896050707,0.00327789605070705,,,,
23,0.5031,0.497597976633264,-0.00240202336673595,,,,
24,0.5031,0.497235373495229,-0.00276462650477094,,,,
25,0.5031,0.504390577975929,0.00439057797592901,,,,
26,0.5031,0.504529891763416,0.00452989176341601,,,,
27,0.5031,0.549997070777841,0.049997070777841,,,,
28,0.5031,0.497225178054186,-0.00277482194581397,,,,
29,0.5031,0.497240315161033,-0.00275968483896694,,,,
30,0.5031,0.731059589408718,0.231059589408718,,,,
31,0.5031,0.522945667491118,0.022945667491118,,,,
32,0.5031,0.497572574855059,-0.00242742514494099,,,,
33,0.5031,0.507193430993317,0.00719343099331704,,,,
34,0.5031,0.54653709754035,0.04653709754035,,,,
35,0.5031,0.501916132993727,0.00191613299372706,,,,
36,0.5031,0.501913271256375,0.00191327125637508,,,,
37,0.5031,0.501913271256377,0.00191327125637708,,,,
38,0.5031,0.501913271263602,0.00191327126360208,,,,
39,0.5031,0.497239024370912,-0.00276097562908795,,,,
40,0.5031,0.501917037632448,0.00191703763244799,,,,
41,0.5031,0.501913271256375,0.00191327125637508,,,,
42,0.5031,0.497235389868342,-0.00276461013165796,,,,
43,0.5031,0.501913271256435,0.00191327125643503,,,,
44,0.5031,0.501984665855869,0.00198466585586909,,,,
45,0.5031,0.501913271256376,0.00191327125637608,,,,
46,0.5031,0.501913271511615,0.00191327151161502,,,,
47,0.5031,0.54467803528918,0.04467803528918,,,,
48,0.5031,0.498005160880223,-0.00199483911977694,,,,
49,0.5031,0.347860375360977,-0.152139624639023,,,,
50,0.5031,0.501913271256372,0.00191327125637208,,,,
51,0.5031,0.497235388223759,-0.00276461177624099,,,,
52,0.5031,0.338593301142131,-0.161406698857869,,,,
53,0.5031,0.501913271256375,0.00191327125637508,,,,
54,0.5031,0.497235385607648,-0.00276461439235198,,,,
55,0.5031,0.501913274716587,0.00191327471658709,,,,
56,0.5031,0.489890186712774,-0.010109813287226,,,,
57,0.5031,0.501913272531561,0.00191327253156104,,,,
58,0.5031,0.49723780776865,-0.00276219223134999,,,,
59,0.5031,0.50191327125713,0.00191327125713003,,,,
60,0.5031,0.497235323363189,-0.00276467663681096,,,,
61,0.5031,0.501913271264968,0.00191327126496799,,,,
62,0.5031,0.497235348925894,-0.00276465107410595,,,,
63,0.5031,0.501913271319524,0.00191327131952401,,,,
64,0.5031,0.525911621172246,0.025911621172246,,,,
65,0.5031,0.514026550179385,0.014026550179385,,,,
66,0.5031,0.562710958757169,0.062710958757169,,,,
67,0.5031,0.497206946185287,-0.00279305381471295,,,,
68,0.5031,0.50191327125637,0.00191327125636998,,,,
69,0.5031,0.501913271886054,0.00191327188605406,,,,
70,0.5031,0.501913271263756,0.00191327126375607,,,,
71,0.5031,0.501913271531612,0.00191327153161203,,,,
72,0.5031,0.501911945187856,0.00191194518785609,,,,
73,0.5031,0.505229289344322,0.00522928934432199,,,,
74,0.5031,0.277698476196777,-0.222301523803223,,,,
75,0.5031,0.521686520316428,0.021686520316428,,,,
76,0.5031,0.500932620949094,0.000932620949094076,,,,
,,,-0.0398509189217711,,0.460149081078229,0.0429509189217711,6.95804886532691
,,,,,,,
,,,,,74.5441511346731,,
,,,,,81.5022,,
